"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1147994155,1092715451,7537,0,96177,1,1955109636,586032584,1,1,1,1,1147988060,1092638016,2023,0,26192,1,-610989948,220389281,1,1,1,1,1147994048,1093357383,7244,0,100628,1,0,0,1,1,1,1,1147994048,1093357383,7244,0,3119,1,0,0,1,1,1,1,1,0,0,-2060763166,0,0,669,183,398,21,"A3"
1145310316,1096559184,14888,0,191091,1,907147180,285535502,1,1,1,1,1145303921,1096137206,1950,0,25242,1,-985068073,1918289410,1,1,1,1,1145310758,1097200331,5063,0,81003,1,0,0,1,1,1,1,1145310758,1097200331,5063,0,2261,1,0,0,1,1,1,1,1,0,0,-1668933619,0,0,1330,176,321,22,"A3"
1147539989,1096874690,28988,0,359384,1,1510214516,718871382,1,1,1,1,1147532776,1096813854,3506,0,45809,1,1418912848,-1132879780,1,1,1,1,1147539975,1097515772,60211,0,1151692,1,0,0,1,1,1,1,1147539975,1097515772,60211,0,58980,1,0,0,1,1,1,1,1,0,0,1741758185,0,0,2501,319,6898,30,"A3"
1151800557,1097836334,28530,0,349017,1,778007346,-560238272,1,1,1,1,1151794484,1097815379,3462,0,44144,1,-1817666493,1489772998,1,1,1,1,1151799853,1098477220,61520,0,1232749,1,0,0,1,1,1,1,1151799853,1098477220,61520,0,74477,1,0,0,1,1,1,1,1,0,0,-1460783506,0,0,2429,308,8710,30,"A3"
1130351911,1098580260,2631,0,33081,1,-1337234800,-1671195521,1,1,1,1,1130305344,1098618182,2449,0,30650,1,-714202422,1056295709,1,1,1,1,1130361180,1099064321,2966,0,41434,1,0,0,1,1,1,1,1130361180,1099064321,2966,0,1127,1,0,0,1,1,1,1,1,0,0,1025916500,0,0,230,214,164,19,"A3"
1145205392,1098978589,8880,0,111059,1,-314395686,1290590124,1,1,1,1,1145193252,1098942693,3830,0,50169,1,-802389614,440120929,1,1,1,1,1145205855,1099298908,3508,0,35314,1,0,0,1,1,1,1,1145205855,1099298908,3508,0,754,1,0,0,1,1,1,1,1,0,0,-1989363591,0,0,773,350,140,28,"A3"
1153753981,1099755229,8657,0,108692,1,-2058480848,1640189734,1,1,1,1,1153747095,1099574214,1240,0,15233,1,2143142792,2070369911,1,1,1,1,1153752878,1100075389,4644,0,78530,1,0,0,1,1,1,1,1153752878,1100075389,4644,0,2401,1,0,0,1,1,1,1,1,0,0,953774762,0,0,756,106,311,15,"A3"
1153010723,1100461901,4580,0,59334,1,-535896049,-1101284802,1,1,1,1,1153006991,1100447115,3933,0,50471,1,1706890045,468718271,1,1,1,1,1153009772,1100781917,59716,0,1230441,1,0,0,1,1,1,1,1153009772,1100781917,59716,0,60264,1,0,0,1,1,1,1,1,0,0,503623742,0,0,413,352,7048,27,"A3"
1143370160,1101132041,4967,0,62441,1,42916968,1742377870,1,1,1,1,1143357746,1101069993,1460,0,16824,1,1235134727,-888402650,1,1,1,1,1143370998,1101451920,4732,0,49064,1,0,0,1,1,1,1,1143370998,1101451920,4732,0,1334,1,0,0,1,1,1,1,1,0,0,696702493,0,0,435,117,194,14,"A3"
1153871576,1100891341,4408,0,56054,1,-1654321964,-694654681,1,1,1,1,1153865834,1100888080,2146,0,27867,1,748378715,198819672,1,1,1,1,1153870449,1101211269,2689,0,36895,1,0,0,1,1,1,1,1153870449,1101211269,2689,0,1038,1,0,0,1,1,1,1,1,0,0,1663325116,0,0,390,194,146,20,"A3"
