"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1155776618,1091754611,2532,0,32981,1,-2025171321,1290404504,1,1,1,1,1155770327,1091544837,2268,0,30377,1,-1859319185,1269812730,1,1,1,1,1155775272,1092182993,8907,0,113002,1,0,0,1,1,1,1,1155775272,1092182993,8907,0,3309,1,0,0,1,1,1,1,1,0,0,1960644577,0,0,230,212,447,19,"B6"
1152284376,1093798721,15044,0,197685,1,-875293790,-537009417,1,1,1,1,1152278405,1093623635,2070,0,26849,1,-1276014951,1120092406,1,1,1,1,1152283739,1094226688,7763,0,101507,1,0,0,1,1,1,1,1152283739,1094226688,7763,0,3250,1,0,0,1,1,1,1,1,0,0,87611708,0,0,1376,187,402,22,"B6"
1150353516,1094476942,8586,0,106366,1,-1893788094,520729352,1,1,1,1,1150347340,1093914911,3835,0,49261,1,-1419377414,-1383062995,1,1,1,1,1150353271,1094904772,3850,0,44915,1,0,0,1,1,1,1,1150353271,1094904772,3850,0,1188,1,0,0,1,1,1,1,1,0,0,-1107346974,0,0,740,343,178,28,"B6"
1143115186,1095824592,2844,0,35480,1,731230659,454191581,1,1,1,1,1143115783,1095764130,2376,0,31366,1,-422182757,979601991,1,1,1,1,1143116392,1096252148,12587,0,109010,1,0,0,1,1,1,1,1143116392,1096252148,12587,0,3130,1,0,0,1,1,1,1,1,0,0,1506704386,0,0,247,219,432,19,"B6"
1153433145,1095695103,1333,0,17269,1,-1238840174,241248380,1,1,1,1,1153426991,1095525819,3924,0,48897,1,-142423786,-1511938812,1,1,1,1,1153432275,1096122685,22997,0,219667,1,0,0,1,1,1,1,1153432275,1096122685,22997,0,6980,1,0,0,1,1,1,1,1,0,0,1328895481,0,0,120,341,870,25,"B6"
1141981005,1096436230,4254,0,55714,1,-463273730,682396714,1,1,1,1,1141975404,1095902980,3472,0,46047,1,-1276065984,-1194927488,1,1,1,1,1141982441,1096863662,61417,0,1232856,1,0,0,1,1,1,1,1141982441,1096863662,61417,0,74281,1,0,0,1,1,1,1,1,0,0,324834212,0,0,388,321,8687,27,"B6"
1155692546,1097688666,4559,0,57542,1,-1022844128,-503525240,1,1,1,1,1155686653,1097114248,1252,0,16377,1,-431259307,-837383561,1,1,1,1,1155691217,1098115844,8325,0,105612,1,0,0,1,1,1,1,1155691217,1098115844,8325,0,3318,1,0,0,1,1,1,1,1,0,0,-870995459,0,0,400,114,418,14,"B6"
1126515880,1098560827,1392,0,16866,1,341440915,655475265,1,1,1,1,1126488342,1098043000,3836,0,50152,1,-913012863,774176590,1,1,1,1,1126527156,1098947738,10846,0,172142,1,0,0,1,1,1,1,1126527156,1098947738,10846,0,5271,1,0,0,1,1,1,1,1,0,0,-235425918,0,0,117,350,682,25,"B6"
1156574114,1098952427,1251,0,15750,1,-981111040,-1224406550,1,1,1,1,1156570693,1098776687,2091,0,27320,1,1063993558,1374641070,1,1,1,1,1156572606,1099165883,14111,0,256907,1,0,0,1,1,1,1,1156572606,1099165883,14111,0,8500,1,0,0,1,1,1,1,1,0,0,-1643884511,0,0,110,190,1017,18,"B6"
1157364547,1099238290,27988,0,351272,1,-1259192883,-586988971,1,1,1,1,1157358400,1098985442,3659,0,48031,1,-1779522718,-1416871537,1,1,1,1,1157362879,1099451688,60587,0,1255140,1,0,0,1,1,1,1,1157362879,1099451688,60587,0,57454,1,0,0,1,1,1,1,1,0,0,-1246232777,0,0,2445,335,6719,30,"B6"
