"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1151407748,1093155254,7790,0,98522,1,110814530,-1643842257,1,1,1,1,1151394434,1092954897,2128,0,27312,1,1957750835,608894016,1,1,1,1,1151406970,1093697068,11544,0,114653,1,0,0,1,1,1,1,1151406970,1093697068,11544,0,3322,1,0,0,1,1,1,1,1,0,0,-2147442397,0,0,686,190,454,21,"C12"
1155175164,1093438088,1303,0,16940,1,1381768050,-537504762,1,1,1,1,1155169491,1092892977,2313,0,30127,1,-488527086,-128163295,1,1,1,1,1155173271,1093979818,16866,0,333537,1,0,0,1,1,1,1,1155173271,1093979818,16866,0,11151,1,0,0,1,1,1,1,1,0,0,-464685295,0,0,118,210,1321,18,"C12"
1157333528,1093547815,7883,0,103230,1,-2063337861,2009310768,1,1,1,1,1157327117,1093419045,1241,0,14998,1,506558880,-1587058858,1,1,1,1,1157330997,1094089513,3860,0,48368,1,0,0,1,1,1,1,1157330997,1094089513,3860,0,1675,1,0,0,1,1,1,1,1,0,0,2110813989,0,0,718,105,192,15,"C12"
1153639459,1094491556,2628,0,33720,1,424304407,-279198349,1,1,1,1,1153636343,1094429425,3968,0,50888,1,741435428,-1449661183,1,1,1,1,1153638021,1095032975,13798,0,175477,1,0,0,1,1,1,1,1153638021,1095032975,13798,0,5603,1,0,0,1,1,1,1,1,0,0,-2110618776,0,0,235,355,695,26,"C12"
1154398597,1094953004,4623,0,57105,1,-992781252,-718347476,1,1,1,1,1154392528,1094787481,3846,0,47822,1,-731617054,2130150021,1,1,1,1,1154396934,1095494286,61256,0,1308232,1,0,0,1,1,1,1,1154396934,1095494286,61256,0,80885,1,0,0,1,1,1,1,1,0,0,-1695203913,0,0,397,333,9460,27,"C12"
1154824899,1094686495,4711,0,59625,1,-389875825,-213577829,1,1,1,1,1154818745,1094584702,3975,0,50535,1,1614721418,-1956723698,1,1,1,1,1154823110,1095227856,60398,0,1313497,1,0,0,1,1,1,1,1154823110,1095227856,60398,0,86683,1,0,0,1,1,1,1,1,0,0,-938586733,0,0,415,352,10138,27,"C12"
1147093915,1096335986,7997,0,101293,1,-170319787,-2011141874,1,1,1,1,1147080860,1095808168,1968,0,26533,1,-478605449,-992603153,1,1,1,1,1147094278,1096876859,5775,0,54618,1,0,0,1,1,1,1,1147094278,1096876859,5775,0,1557,1,0,0,1,1,1,1,1,0,0,-257384897,0,0,705,185,216,21,"C12"
1126913689,1099280874,8102,0,103397,1,-854482168,-1902426639,1,1,1,1,1126885964,1099051878,2178,0,27449,1,2116337972,300736899,1,1,1,1,1126929138,1099550819,11044,0,103062,1,0,0,1,1,1,1,1126929138,1099550819,11044,0,3197,1,0,0,1,1,1,1,1,0,0,-780022198,0,0,720,191,408,21,"C12"
1149689487,1099486746,4635,0,57117,1,603682475,146857698,1,1,1,1,1149683513,1099411740,2184,0,27392,1,1419461082,1846434538,1,1,1,1,1149689218,1099756631,15006,0,107884,1,0,0,1,1,1,1,1149689218,1099756631,15006,0,3175,1,0,0,1,1,1,1,1,0,0,-2029610706,0,0,398,191,427,20,"C12"
1154647399,1099309097,4684,0,59962,1,1574560255,-368598474,1,1,1,1,1154643953,1099272878,3920,0,51279,1,-1336571168,2003798779,1,1,1,1,1154645663,1099579034,60767,0,1269663,1,0,0,1,1,1,1,1154645663,1099579034,60767,0,58961,1,0,0,1,1,1,1,1,0,0,140082174,0,0,417,357,6895,27,"C12"
