"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1146965200,1093478886,2474,0,30988,1,1676915328,-1347201566,1,1,1,1,1146959237,1093492487,1180,0,15249,1,-1303399930,-340240048,1,1,1,1,1146965467,1093937270,19916,0,308695,1,0,0,1,1,1,1,1146965467,1093937270,19916,0,10347,1,0,0,1,1,1,1,1,0,0,608354729,0,0,216,106,1222,13,"D11"
1114664131,1094769329,4698,0,55840,1,-121894903,-1996113740,1,1,1,1,1114565329,1094697144,2181,0,27424,1,140076634,1032395873,1,1,1,1,1114712096,1095227452,10530,0,93150,1,0,0,1,1,1,1,1114712096,1095227452,10530,0,2766,1,0,0,1,1,1,1,1,0,0,1115818979,0,0,389,191,369,20,"D11"
1124953811,1094801623,16262,0,203479,1,-1410158096,-154803641,1,1,1,1,1124926690,1094733086,2115,0,26847,1,1074493869,2127086273,1,1,1,1,1124964725,1095259740,11664,0,144324,1,0,0,1,1,1,1,1124964725,1095259740,11664,0,4324,1,0,0,1,1,1,1,1,0,0,-1017483983,0,0,1416,187,572,22,"D11"
1152984525,1095158264,1424,0,17530,1,1959711353,1445049464,1,1,1,1,1152977723,1095481598,2348,0,31052,1,1097107481,1513722855,1,1,1,1,1152983672,1095616309,49351,0,439684,1,0,0,1,1,1,1,1152983672,1095616309,49351,0,14637,1,0,0,1,1,1,1,1,0,0,-340203027,0,0,122,216,1741,18,"D11"
1153112746,1094368541,1329,0,16776,1,-4492383,1351777976,1,1,1,1,1153106889,1093998353,3880,0,49170,1,963672829,-1814071198,1,1,1,1,1153111867,1094826745,6957,0,76592,1,0,0,1,1,1,1,1153111867,1094826745,6957,0,2196,1,0,0,1,1,1,1,1,0,0,-218580262,0,0,117,343,303,25,"D11"
1150716132,1095336656,2765,0,33296,1,-180579217,295137109,1,1,1,1,1150712454,1094946893,1335,0,17292,1,-649392720,1037230131,1,1,1,1,1150715737,1095794665,38443,0,479448,1,0,0,1,1,1,1,1150715737,1095794665,38443,0,16323,1,0,0,1,1,1,1,1,0,0,-1056394608,0,0,232,121,1899,13,"D11"
1135670389,1097378118,4164,0,51814,1,-858993459,1104784887,1,1,1,1,1135645921,1097282868,1104,0,14547,1,-1636532475,152052530,1,1,1,1,1135674439,1097835714,9172,0,119392,1,0,0,1,1,1,1,1135674439,1097835714,9172,0,3740,1,0,0,1,1,1,1,1,0,0,757138638,0,0,361,101,473,14,"D11"
1155522521,1096960193,8584,0,109025,1,-951914867,1494542254,1,1,1,1,1155516146,1096852345,3993,0,52291,1,-1467465282,-172649620,1,1,1,1,1155521155,1097417874,3044,0,34523,1,0,0,1,1,1,1,1155521155,1097417874,3044,0,1038,1,0,0,1,1,1,1,1,0,0,1578931717,0,0,759,364,137,28,"D11"
1150585216,1097562649,4742,0,58365,1,2995842,-2067456630,1,1,1,1,1150581741,1097165330,2171,0,28691,1,-251001991,-791899097,1,1,1,1,1150584848,1098020208,4019,0,49277,1,0,0,1,1,1,1,1150584848,1098020208,4019,0,1211,1,0,0,1,1,1,1,1,0,0,652986722,0,0,406,200,195,20,"D11"
1146077886,1098564809,7918,0,102848,1,-729505617,1483327224,1,1,1,1,1146072219,1098588223,1056,0,14243,1,-2120501608,1167297508,1,1,1,1,1146078332,1098964907,6913,0,92217,1,0,0,1,1,1,1,1146078332,1098964907,6913,0,2616,1,0,0,1,1,1,1,1,0,0,1971884468,0,0,716,99,365,15,"D11"
1146318141,1099417186,2208,0,28748,1,-668841572,183463888,1,1,1,1,1146306855,1099386624,1094,0,14442,1,-814469472,-1955069589,1,1,1,1,1146318538,1099645727,28995,0,271834,1,0,0,1,1,1,1,1146318538,1099645727,28995,0,9366,1,0,0,1,1,1,1,1,0,0,1767642899,0,0,200,101,1076,13,"D11"
1147723154,1101989379,2718,0,33597,1,1170539969,193162949,1,1,1,1,1147716349,1101983624,2338,0,30568,1,1055887207,-948692070,1,1,1,1,1147723267,1102217400,4354,0,50481,1,0,0,1,1,1,1,1147723267,1102217400,4354,0,1397,1,0,0,1,1,1,1,1,0,0,1167653214,0,0,234,213,200,19,"D11"
1151244533,1102626710,4531,0,58202,1,-140512704,-1808251926,1,1,1,1,1151238582,1102589598,3651,0,49296,1,-203581055,-924233469,1,1,1,1,1151244031,1102854602,60580,0,1194876,1,0,0,1,1,1,1,1151244031,1102854602,60580,0,64088,1,0,0,1,1,1,1,1,0,0,-1861335265,0,0,405,344,7495,27,"D11"
1155145761,1102751835,4750,0,60533,1,-1938516944,-1236347201,1,1,1,1,1155139156,1102692026,3916,0,50839,1,1136651517,-1141601783,1,1,1,1,1155144471,1102979702,61291,0,1302037,1,0,0,1,1,1,1,1155144471,1102979702,61291,0,68923,1,0,0,1,1,1,1,1,0,0,-483446297,0,0,421,354,8061,27,"D11"
1125731072,1103710451,5149,0,64487,1,-225448728,-1634681057,1,1,1,1,1125700849,1103666636,1456,0,17811,1,1707122420,2004607441,1,1,1,1,1125741829,1103938124,6003,0,80815,1,0,0,1,1,1,1,1125741829,1103938124,6003,0,2286,1,0,0,1,1,1,1,1,0,0,-404514662,0,0,449,124,320,14,"D11"
1129778859,1104516043,2681,0,33257,1,241233829,-1680948201,1,1,1,1,1129754436,1104512557,2274,0,29484,1,678736303,809348742,1,1,1,1,1129788798,1104743553,2790,0,42637,1,0,0,1,1,1,1,1129788798,1104743553,2790,0,1097,1,0,0,1,1,1,1,1,0,0,-1179257849,0,0,231,206,169,19,"D11"
1140561048,1104654471,16267,0,205284,1,87474205,1514005054,1,1,1,1,1140548502,1104632873,2245,0,27318,1,559552681,1030741840,1,1,1,1,1140564110,1104881953,15140,0,195375,1,0,0,1,1,1,1,1140564110,1104881953,15140,0,6439,1,0,0,1,1,1,1,1,0,0,-1041488004,0,0,1429,190,774,22,"D11"
