"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1149879526,1092458303,16389,0,204134,1,17463229,-555959398,1,1,1,1,1149876318,1092424408,2095,0,27291,1,2010182740,1088259824,1,1,1,1,1149879206,1092885611,8319,0,121858,1,0,0,1,1,1,1,1149879206,1092885611,8319,0,3868,1,0,0,1,1,1,1,1,0,0,1574156014,0,0,1421,190,483,22,"E12"
1150105129,1092327193,8910,0,110825,1,184815833,637511500,1,1,1,1,1150099405,1092307958,3909,0,49717,1,2142607369,1855102434,1,1,1,1,1150104763,1092754528,1991,0,20094,1,0,0,1,1,1,1,1150104763,1092754528,1991,0,646,1,0,0,1,1,1,1,1,0,0,-19983854,0,0,771,347,80,28,"E12"
1148456976,1095446044,4885,0,60668,1,-323355135,-1534543929,1,1,1,1,1148450487,1094978419,3887,0,50067,1,576842105,-1146251084,1,1,1,1,1148456754,1095872746,61706,0,1217207,1,0,0,1,1,1,1,1148456754,1095872746,61706,0,81977,1,0,0,1,1,1,1,1,0,0,1643355280,0,0,422,349,9587,27,"E12"
1132190163,1097564641,15776,0,203013,1,-725387926,-1713793776,1,1,1,1,1132142733,1097118865,2026,0,27266,1,1222912881,1250716656,1,1,1,1,1132198911,1097990913,19104,0,147164,1,0,0,1,1,1,1,1132198911,1097990913,19104,0,4557,1,0,0,1,1,1,1,1,0,0,790462833,0,0,1413,190,583,22,"E12"
1135421043,1099484772,4537,0,57993,1,621712765,-128494271,1,1,1,1,1135407143,1099437413,3511,0,47957,1,-258041249,1974411431,1,1,1,1,1135424789,1099697654,63346,0,1326904,1,0,0,1,1,1,1,1135424789,1099697654,63346,0,147095,1,0,0,1,1,1,1,1,0,0,2005022795,0,0,404,334,17203,27,"E12"
1143967996,1099479646,4512,0,59600,1,1217584458,1659183339,1,1,1,1,1143961250,1099446575,1286,0,16165,1,-237197405,-716846382,1,1,1,1,1143968685,1099692530,9212,0,105837,1,0,0,1,1,1,1,1143968685,1099692530,9212,0,3369,1,0,0,1,1,1,1,1,0,0,1194650045,0,0,415,113,419,14,"E12"
1151711223,1099949549,4777,0,57518,1,-930145393,-939967459,1,1,1,1,1151705450,1099905087,2219,0,27879,1,1065575978,22954558,1,1,1,1,1151710531,1100162337,8096,0,88665,1,0,0,1,1,1,1,1151710531,1100162337,8096,0,2509,1,0,0,1,1,1,1,1,0,0,-801363805,0,0,400,194,351,20,"E12"
1156251899,1100112824,7957,0,97323,1,-331729677,-1841898113,1,1,1,1,1156245396,1100047069,1114,0,13797,1,1732126728,-1233048160,1,1,1,1,1156250285,1100325579,11662,0,92694,1,0,0,1,1,1,1,1156250285,1100325579,11662,0,2776,1,0,0,1,1,1,1,1,0,0,1601835170,0,0,677,96,367,15,"E12"
1145131564,1100501230,1261,0,15562,1,1829768974,579580473,1,1,1,1,1145125407,1100462765,3508,0,44743,1,1766338443,-2040596625,1,1,1,1,1145132017,1100713906,9100,0,92308,1,0,0,1,1,1,1,1145132017,1100713906,9100,0,2820,1,0,0,1,1,1,1,1,0,0,1316981497,0,0,108,312,366,25,"E12"
1150346029,1100651948,8785,0,111909,1,1489126687,2087094126,1,1,1,1,1150339549,1100586735,4027,0,51237,1,-1328569868,-2123467641,1,1,1,1,1150345614,1100864594,3903,0,28788,1,0,0,1,1,1,1,1150345614,1100864594,3903,0,526,1,0,0,1,1,1,1,1,0,0,-257334860,0,0,779,357,114,28,"E12"
1154644414,1100319039,7814,0,98221,1,-1557271143,418516733,1,1,1,1,1154638287,1100304193,2168,0,26987,1,69808432,-1230543859,1,1,1,1,1154643126,1100531752,3147,0,42735,1,0,0,1,1,1,1,1154643126,1100531752,3147,0,1139,1,0,0,1,1,1,1,1,0,0,-404455687,0,0,684,188,169,21,"E12"
1155251587,1100582080,4634,0,58183,1,1664293595,-2087727774,1,1,1,1,1155245386,1100520694,1222,0,16574,1,-1486693563,474742373,1,1,1,1,1155250176,1100794740,5584,0,81338,1,0,0,1,1,1,1,1155250176,1100794740,5584,0,2669,1,0,0,1,1,1,1,1,0,0,1664306136,0,0,405,116,322,14,"E12"
1152305958,1101135073,4551,0,59449,1,-258993003,-773974073,1,1,1,1,1152302971,1101090726,3712,0,49716,1,400807217,748828878,1,1,1,1,1152305145,1101347621,61341,0,1226484,1,0,0,1,1,1,1,1152305145,1101347621,61341,0,70584,1,0,0,1,1,1,1,1,0,0,364979221,0,0,414,347,8255,27,"E12"
1153344663,1102589645,1344,0,18139,1,-920207555,1004661020,1,1,1,1,1153341766,1102550788,2382,0,29549,1,-1774974916,-1480832746,1,1,1,1,1153343639,1102801897,12764,0,213157,1,0,0,1,1,1,1,1153343639,1102801897,12764,0,6650,1,0,0,1,1,1,1,1,0,0,-280295975,0,0,126,206,844,18,"E12"
1150802870,1103023944,16173,0,201866,1,1548085622,-864967852,1,1,1,1,1150796837,1103003194,3496,0,47251,1,-910378559,1076400557,1,1,1,1,1150802362,1103236108,6824,0,72722,1,0,0,1,1,1,1,1150802362,1103236108,6824,0,2173,1,0,0,1,1,1,1,1,0,0,2118734104,0,0,1405,329,288,29,"E12"
1139375006,1103530046,5102,0,65046,1,-579679341,2110837169,1,1,1,1,1139350877,1103509251,2365,0,31534,1,567710916,-740661894,1,1,1,1,1139377949,1103742107,4602,0,51592,1,0,0,1,1,1,1,1139377949,1103742107,4602,0,1149,1,0,0,1,1,1,1,1,0,0,1048734317,0,0,453,220,204,20,"E12"
1147121787,1103482475,4455,0,57840,1,1489128973,1696601189,1,1,1,1,1147109790,1103473743,3623,0,47479,1,-979237197,-556240736,1,1,1,1,1147121836,1103694546,61668,0,1219057,1,0,0,1,1,1,1,1147121836,1103694546,61668,0,78136,1,0,0,1,1,1,1,1,0,0,365237862,0,0,403,331,9138,27,"E12"
1153080334,1103528774,2829,0,35921,1,655318389,861839155,1,1,1,1,1153074139,1103510517,4132,0,54371,1,883727857,1334677814,1,1,1,1,1153079364,1103740836,1581,0,16730,1,0,0,1,1,1,1,1153079364,1103740836,1581,0,435,1,0,0,1,1,1,1,1,0,0,-393145411,0,0,250,379,66,26,"E12"
1132832695,1103967667,14881,0,190913,1,-1099143,1791637555,1,1,1,1,1132819053,1103964751,3315,0,43927,1,699943870,1919325427,1,1,1,1,1132836966,1104179640,2985,0,45398,1,0,0,1,1,1,1,1132836966,1104179640,2985,0,1225,1,0,0,1,1,1,1,1,0,0,-1898899774,0,0,1329,306,180,29,"E12"
1149384939,1104205293,1396,0,17128,1,-696168895,2076268637,1,1,1,1,1149379034,1104156738,3618,0,47530,1,2044241897,1775096519,1,1,1,1,1149384719,1104417217,11632,0,157664,1,0,0,1,1,1,1,1149384719,1104417217,11632,0,5265,1,0,0,1,1,1,1,1,0,0,457475963,0,0,119,331,624,25,"E12"
1153399975,1103980177,8701,0,106486,1,-2111053139,174886635,1,1,1,1,1153393807,1103774513,3983,0,49177,1,-489904438,-1372324890,1,1,1,1,1153398940,1104192147,2281,0,26519,1,0,0,1,1,1,1,1153398940,1104192147,2281,0,537,1,0,0,1,1,1,1,1,0,0,-1169753243,0,0,741,343,105,28,"E12"
1157380936,1103958636,1420,0,17894,1,1474756683,-1966266463,1,1,1,1,1157374823,1103950237,2321,0,31218,1,-1485112023,-380820984,1,1,1,1,1157379093,1104170610,17282,0,263358,1,0,0,1,1,1,1,1157379093,1104170610,17282,0,8866,1,0,0,1,1,1,1,1,0,0,-1377805067,0,0,125,218,1043,18,"E12"
1138633103,1104521603,2754,0,34533,1,-447047298,-1524313531,1,1,1,1,1138618779,1104315021,3990,0,52567,1,1940813442,1577634705,1,1,1,1,1138636197,1104733463,7113,0,67513,1,0,0,1,1,1,1,1138636197,1104733463,7113,0,2076,1,0,0,1,1,1,1,1,0,0,1706985575,0,0,240,366,267,26,"E12"
1153591561,1104592188,2739,0,33092,1,1674954587,-551861506,1,1,1,1,1153588380,1104568806,1257,0,17359,1,-336277243,-526262771,1,1,1,1,1153590487,1104804034,4954,0,64228,1,0,0,1,1,1,1,1153590487,1104804034,4954,0,1794,1,0,0,1,1,1,1,1,0,0,-127945387,0,0,230,121,254,13,"E12"
1144013635,1105033912,1442,0,17911,1,754092476,-1477376669,1,1,1,1,1144001784,1104820498,2440,0,29920,1,-864127649,1933883670,1,1,1,1,1144014315,1105245668,16857,0,208835,1,0,0,1,1,1,1,1144014315,1105245668,16857,0,6660,1,0,0,1,1,1,1,1,0,0,-203979152,0,0,125,209,827,18,"E12"
1141969682,1105645682,15582,0,197139,1,-532129486,-2116034846,1,1,1,1,1141963103,1105636115,2035,0,26692,1,-363922543,1085809955,1,1,1,1,1141970777,1105857314,9547,0,131412,1,0,0,1,1,1,1,1141970777,1105857314,9547,0,4334,1,0,0,1,1,1,1,1,0,0,-368038320,0,0,1372,186,520,22,"E12"
1148478529,1105624495,9281,0,117873,1,1899995725,1085465507,1,1,1,1,1148466340,1105616708,4103,0,53992,1,-2034356476,-1122584429,1,1,1,1,1148478303,1105836131,4117,0,34969,1,0,0,1,1,1,1,1148478303,1105836131,4117,0,859,1,0,0,1,1,1,1,1,0,0,1414086232,0,0,820,376,138,28,"E12"
1155227282,1105807034,1505,0,18165,1,239770379,1767876161,1,1,1,1,1155220981,1105742705,2412,0,31769,1,-2117156038,954737607,1,1,1,1,1155225876,1106018633,16049,0,177754,1,0,0,1,1,1,1,1155225876,1106018633,16049,0,7746,1,0,0,1,1,1,1,1,0,0,-502523627,0,0,126,221,704,18,"E12"
1134693155,1106108587,1383,0,17567,1,-157809126,85816219,1,1,1,1,1134680407,1106104875,2271,0,29267,1,2054297657,1772607714,1,1,1,1,1134697048,1106320125,14102,0,171340,1,0,0,1,1,1,1,1134697048,1106320125,14102,0,5623,1,0,0,1,1,1,1,1,0,0,127184408,0,0,122,204,679,18,"E12"
1144604048,1106864491,29302,0,362503,1,-62614951,-1535227798,1,1,1,1,1144591208,1106799761,3496,0,46079,1,-818588758,1340808276,1,1,1,1,1144604608,1107075876,26036,0,377846,1,0,0,1,1,1,1,1144604608,1107075876,26036,0,13173,1,0,0,1,1,1,1,1,0,0,761823806,0,0,2523,321,1496,30,"E12"
1151319047,1106947212,2648,0,32585,1,-782940726,1483368481,1,1,1,1,1151312861,1107105949,1378,0,16821,1,773934042,-166222205,1,1,1,1,1151318434,1107158580,12172,0,141135,1,0,0,1,1,1,1,1151318434,1107158580,12172,0,4404,1,0,0,1,1,1,1,1,0,0,723753335,0,0,227,117,559,13,"E12"
1149647573,1107241822,2749,0,35313,1,-293784577,-748970878,1,1,1,1,1149641662,1107218910,4123,0,52638,1,2132976014,-320992464,1,1,1,1,1149647300,1107374693,5111,0,61027,1,0,0,1,1,1,1,1149647300,1107374693,5111,0,1722,1,0,0,1,1,1,1,1,0,0,1027667232,0,0,246,367,242,26,"E12"
1150466838,1107152589,1322,0,16330,1,230164569,936844673,1,1,1,1,1150461172,1107134006,3716,0,47109,1,369803362,-1676996507,1,1,1,1,1150466398,1107330086,10549,0,125003,1,0,0,1,1,1,1,1150466398,1107330086,10549,0,3800,1,0,0,1,1,1,1,1,0,0,-329391819,0,0,114,328,495,25,"E12"
1155450044,1107251541,2478,0,32728,1,1771576608,976367535,1,1,1,1,1155446980,1107217675,2276,0,30357,1,454431442,-1873079423,1,1,1,1,1155448593,1107379552,2007,0,27327,1,0,0,1,1,1,1,1155448593,1107379552,2007,0,578,1,0,0,1,1,1,1,1,0,0,-1408518318,0,0,228,212,108,19,"E12"
1144721589,1108261454,7892,0,100951,1,1875112780,2039695715,1,1,1,1,1144714753,1108146012,2033,0,26519,1,1859702681,1339069709,1,1,1,1,1144722125,1108366907,3277,0,36021,1,0,0,1,1,1,1,1144722125,1108366907,3277,0,899,1,0,0,1,1,1,1,1,0,0,-1502839233,0,0,703,185,143,21,"E12"
1147245680,1108279666,1481,0,19312,1,551867306,-1651089333,1,1,1,1,1147238728,1108275639,2508,0,31920,1,387591273,193757923,1,1,1,1,1147245704,1108385115,29790,0,355367,1,0,0,1,1,1,1,1147245704,1108385115,29790,0,11793,1,0,0,1,1,1,1,1,0,0,-2089421411,0,0,134,222,1407,18,"E12"
