"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1137565266,1097136317,1292,0,16251,1,2114873182,1199081079,1,1,1,1,1137543569,1096965413,2218,0,29023,1,-1649836258,637519178,1,1,1,1,1137568763,1097553746,8891,0,124769,1,0,0,1,1,1,1,1137568763,1097553746,8891,0,3852,1,0,0,1,1,1,1,1,0,0,835124855,0,0,113,202,494,18,"F10"
1149469650,1096776504,2528,0,31063,1,1578091261,1234303610,1,1,1,1,1149466485,1096635778,1199,0,15176,1,263206095,-760732215,1,1,1,1,1149469454,1097194007,2721,0,34834,1,0,0,1,1,1,1,1149469454,1097194007,2721,0,956,1,0,0,1,1,1,1,1,0,0,721096318,0,0,216,106,138,13,"F10"
1140849191,1097773287,4732,0,58516,1,-1014545595,670272085,1,1,1,1,1140837948,1097624497,1332,0,16114,1,781165677,-1260184025,1,1,1,1,1140851353,1098190586,8356,0,78055,1,0,0,1,1,1,1,1140851353,1098190586,8356,0,2297,1,0,0,1,1,1,1,1,0,0,2109057093,0,0,407,112,309,14,"F10"
1154403387,1097264629,2538,0,32619,1,-1953442222,839927539,1,1,1,1,1154400114,1096764579,4046,0,51241,1,-531487671,1366416675,1,1,1,1,1154402184,1097682032,3396,0,39281,1,0,0,1,1,1,1,1154402184,1097682032,3396,0,975,1,0,0,1,1,1,1,1,0,0,1888898793,0,0,227,357,156,26,"F10"
1145706913,1098967598,15921,0,199648,1,-1730058002,1040870420,1,1,1,1,1145700529,1098848211,3794,0,46083,1,303406473,-995569747,1,1,1,1,1145707335,1099176120,3765,0,45868,1,0,0,1,1,1,1,1145707335,1099176120,3765,0,1211,1,0,0,1,1,1,1,1,0,0,-702261616,0,0,1390,321,182,29,"F10"
1154771436,1099278458,27954,0,349689,1,-944428497,1141733283,1,1,1,1,1154767814,1099217491,3578,0,47765,1,1797054658,-316244111,1,1,1,1,1154770158,1099486916,48046,0,852034,1,0,0,1,1,1,1,1154770158,1099486916,48046,0,29776,1,0,0,1,1,1,1,1,0,0,-992370649,0,0,2434,333,3374,30,"F10"
1139938952,1101430941,8308,0,102866,1,1678372161,1178187031,1,1,1,1,1139913079,1101170857,2187,0,27317,1,723970702,10062522,1,1,1,1,1139941964,1101638960,2858,0,29245,1,0,0,1,1,1,1,1139941964,1101638960,2858,0,622,1,0,0,1,1,1,1,1,0,0,-1613956554,0,0,716,190,116,21,"F10"
1155100797,1102501982,1271,0,15018,1,-1844870411,-1328700097,1,1,1,1,1155095618,1102450614,1235,0,15241,1,-1859015695,-1503985333,1,1,1,1,1155099451,1102709782,61240,0,1296703,1,0,0,1,1,1,1,1155099451,1102709782,61240,0,86418,1,0,0,1,1,1,1,1,0,0,1217392660,0,0,105,106,10107,12,"F10"
1141944487,1103112011,2569,0,34147,1,2099491104,283882660,1,1,1,1,1141932191,1103055386,2485,0,31346,1,-1826032436,-2137481332,1,1,1,1,1141945677,1103319687,3006,0,31896,1,0,0,1,1,1,1,1141945677,1103319687,3006,0,915,1,0,0,1,1,1,1,1,0,0,1854387036,0,0,238,218,126,19,"F10"
1150540088,1103007419,1529,0,17888,1,2134122147,1959242684,1,1,1,1,1150534208,1102749265,1463,0,18436,1,-1725865334,1044621033,1,1,1,1,1150539673,1103215116,61401,0,1257407,1,0,0,1,1,1,1,1150539673,1103215116,61401,0,94306,1,0,0,1,1,1,1,1,0,0,-1816733766,0,0,125,128,11029,12,"F10"
1146379151,1104603620,8337,0,105903,1,-1185175067,405637828,1,1,1,1,1146371675,1104558231,1125,0,14641,1,1742118833,1990393628,1,1,1,1,1146379436,1104810991,3482,0,39372,1,0,0,1,1,1,1,1146379436,1104810991,3482,0,1189,1,0,0,1,1,1,1,1,0,0,-1069145824,0,0,737,102,156,15,"F10"
1152769357,1105037703,2550,0,32366,1,977347335,-270442543,1,1,1,1,1152763428,1104786391,2225,0,29549,1,905213856,627478893,1,1,1,1,1152768487,1105244986,2942,0,25849,1,0,0,1,1,1,1,1152768487,1105244986,2942,0,481,1,0,0,1,1,1,1,1,0,0,-1922748501,0,0,225,206,102,19,"F10"
1147454860,1106035506,1300,0,16458,1,-513356922,-720786224,1,1,1,1,1147447950,1105766006,3663,0,47628,1,-1612303341,-1203326690,1,1,1,1,1147454925,1106242585,10005,0,119667,1,0,0,1,1,1,1,1147454925,1106242585,10005,0,3798,1,0,0,1,1,1,1,1,0,0,-1147855793,0,0,115,332,474,25,"F10"
1145604550,1106959477,8490,0,106626,1,1489797910,1839537885,1,1,1,1,1145598188,1106853830,2213,0,27857,1,1377335420,-588964177,1,1,1,1,1145604993,1107166368,5816,0,66881,1,0,0,1,1,1,1,1145604993,1107166368,5816,0,1862,1,0,0,1,1,1,1,1,0,0,-938189863,0,0,742,194,265,21,"F10"
1137966023,1107315252,2690,0,34968,1,1618517511,-718284396,1,1,1,1,1137954268,1107257316,4004,0,52189,1,1733553521,1157828180,1,1,1,1,1137969438,1107418659,3839,0,48329,1,0,0,1,1,1,1,1137969438,1107418659,3839,0,1657,1,0,0,1,1,1,1,1,0,0,-662520563,0,0,243,364,191,26,"F10"
1156344501,1107133541,4381,0,56274,1,1098149688,-28544581,1,1,1,1,1156341124,1107110037,1198,0,15626,1,737459055,-1888290370,1,1,1,1,1156342902,1107318326,3916,0,45170,1,0,0,1,1,1,1,1156342902,1107318326,3916,0,1098,1,0,0,1,1,1,1,1,0,0,1077199927,0,0,392,109,179,14,"F10"
