"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1152051780,1090612926,15559,0,195119,1,533010835,1051493154,1,1,1,1,1152048444,1090528232,3402,0,44586,1,1464233162,1055968948,1,1,1,1,1152051089,1091088542,3817,0,41063,1,0,0,1,1,1,1,1152051089,1091088542,3817,0,1189,1,0,0,1,1,1,1,1,0,0,-68975798,0,0,1358,311,163,29,"G6"
1151493630,1091606159,4855,0,57727,1,-487747932,-407124241,1,1,1,1,1151490207,1091547538,2124,0,27924,1,539947870,-1955222184,1,1,1,1,1151493053,1092081574,2893,0,36637,1,0,0,1,1,1,1,1151493053,1092081574,2893,0,1053,1,0,0,1,1,1,1,1,0,0,-608679738,0,0,402,195,145,20,"G6"
1146716330,1092635935,1428,0,17718,1,-1661298074,-2047854369,1,1,1,1,1146702473,1092577859,1287,0,17471,1,2101023160,1423871019,1,1,1,1,1146716605,1093111140,62749,0,1234297,1,0,0,1,1,1,1,1146716605,1093111140,62749,0,69977,1,0,0,1,1,1,1,1,0,0,806303507,0,0,123,122,8184,12,"G6"
1144811258,1093946224,8120,0,102704,1,-1805744903,488444637,1,1,1,1,1144799072,1093850451,1034,0,14487,1,-1796374154,-787425494,1,1,1,1,1144811920,1094421163,2926,0,33176,1,0,0,1,1,1,1,1144811920,1094421163,2926,0,838,1,0,0,1,1,1,1,1,0,0,-930421295,0,0,715,101,131,15,"G6"
1127400940,1094439148,1369,0,17080,1,-123195916,1617402204,1,1,1,1,1127354101,1094067264,1300,0,16959,1,-135801013,-543740479,1,1,1,1,1127411245,1094913987,60317,0,1281378,1,0,0,1,1,1,1,1127411245,1094913987,60317,0,61105,1,0,0,1,1,1,1,1,0,0,-2015266164,0,0,119,118,7146,12,"G6"
1156466760,1094671875,4549,0,58455,1,47600767,1423720491,1,1,1,1,1156459622,1094633950,2254,0,29016,1,-2019637194,-190650602,1,1,1,1,1156465172,1095146667,2485,0,35976,1,0,0,1,1,1,1,1156465172,1095146667,2485,0,1090,1,0,0,1,1,1,1,1,0,0,187004352,0,0,407,202,142,20,"G6"
1135668218,1096904889,1340,0,16317,1,-204910616,1892554689,1,1,1,1,1135643292,1096776982,3900,0,47878,1,1037799501,-648936744,1,1,1,1,1135672205,1097379227,56087,0,199371,1,0,0,1,1,1,1,1135672205,1097379227,56087,0,6789,1,0,0,1,1,1,1,1,0,0,923486769,0,0,114,334,794,25,"G6"
1154533848,1097189837,8016,0,100879,1,-2057374839,-1749254318,1,1,1,1,1154530346,1097058852,2035,0,27426,1,181224580,1117512092,1,1,1,1,1154532653,1097664117,6418,0,68136,1,0,0,1,1,1,1,1154532653,1097664117,6418,0,1946,1,0,0,1,1,1,1,1,0,0,511580771,0,0,702,191,270,21,"G6"
1155192385,1097226160,1611,0,19968,1,-1326537529,-991146299,1,1,1,1,1155186224,1097533221,2526,0,33618,1,-1499384451,715444609,1,1,1,1,1155191056,1097700432,20654,0,336591,1,0,0,1,1,1,1,1155191056,1097700432,20654,0,11162,1,0,0,1,1,1,1,1,0,0,169059929,0,0,139,234,1333,18,"G6"
1142105909,1100381096,8482,0,105836,1,523388680,145605868,1,1,1,1,1142094427,1100372247,3699,0,48266,1,-76669165,-706899685,1,1,1,1,1142107121,1100617762,2652,0,34184,1,0,0,1,1,1,1,1142107121,1100617762,2652,0,628,1,0,0,1,1,1,1,1,0,0,275254563,0,0,737,336,135,28,"G6"
1151852793,1101887830,7711,0,99343,1,-1280714159,113661446,1,1,1,1,1151846226,1101900964,2048,0,26335,1,520130598,1016701201,1,1,1,1,1151852143,1102124190,2557,0,33855,1,0,0,1,1,1,1,1151852143,1102124190,2557,0,862,1,0,0,1,1,1,1,1,0,0,1560709239,0,0,691,184,134,21,"G6"
1149622332,1102532389,4857,0,60326,1,-818876377,-772760916,1,1,1,1,1149616335,1102519329,2187,0,28630,1,-1437866292,1490562174,1,1,1,1,1149622135,1102768618,2421,0,32338,1,0,0,1,1,1,1,1149622135,1102768618,2421,0,966,1,0,0,1,1,1,1,1,0,0,37108461,0,0,420,200,128,20,"G6"
1151048382,1102481629,1424,0,17339,1,1743276504,-1205087715,1,1,1,1,1151042057,1102479888,2329,0,30391,1,-659429823,-1867733467,1,1,1,1,1151047895,1102717868,22861,0,279680,1,0,0,1,1,1,1,1151047895,1102717868,22861,0,9048,1,0,0,1,1,1,1,1,0,0,-866839805,0,0,121,212,1108,18,"G6"
1116499674,1102968630,1453,0,17798,1,1350210041,-1601864980,1,1,1,1,1116446314,1102947217,3943,0,50736,1,-816804175,1240678033,1,1,1,1,1116523176,1103204770,8667,0,135139,1,0,0,1,1,1,1,1116523176,1103204770,8667,0,4059,1,0,0,1,1,1,1,1,0,0,26712025,0,0,124,354,535,25,"G6"
1137057087,1102988827,1389,0,16830,1,543133988,-1326514558,1,1,1,1,1137043574,1102998099,3854,0,48806,1,-1648775920,-1466797420,1,1,1,1,1137060791,1103224963,15141,0,131594,1,0,0,1,1,1,1,1137060791,1103224963,15141,0,4074,1,0,0,1,1,1,1,1,0,0,-683236423,0,0,117,340,521,25,"G6"
1150907984,1103701932,2380,0,32066,1,-21507482,-1277533776,1,1,1,1,1150904262,1103653040,2251,0,29108,1,471800562,-1692135665,1,1,1,1,1150907526,1103937923,3242,0,35334,1,0,0,1,1,1,1,1150907526,1103937923,3242,0,957,1,0,0,1,1,1,1,1,0,0,-480414213,0,0,223,203,140,19,"G6"
1154688882,1103734313,8424,0,107555,1,-1165807107,-589647037,1,1,1,1,1154685505,1103672202,3871,0,50070,1,-1682589375,683317545,1,1,1,1,1154687655,1103970297,3239,0,36532,1,0,0,1,1,1,1,1154687655,1103970297,3239,0,895,1,0,0,1,1,1,1,1,0,0,2115606014,0,0,749,349,145,28,"G6"
1145042437,1104910166,15903,0,202986,1,-1109688458,-1625006101,1,1,1,1,1145030127,1104831444,3539,0,45998,1,195612372,-1454936745,1,1,1,1,1145043052,1105145911,3068,0,28839,1,0,0,1,1,1,1,1145043052,1105145911,3068,0,592,1,0,0,1,1,1,1,1,0,0,-1481611930,0,0,1413,321,114,29,"G6"
1156693378,1104755182,1355,0,16537,1,-1209252837,487751623,1,1,1,1,1156686952,1104712291,3998,0,51176,1,1388270739,1693950678,1,1,1,1,1156691744,1104990959,7176,0,102294,1,0,0,1,1,1,1,1156691744,1104990959,7176,0,3340,1,0,0,1,1,1,1,1,0,0,-570705878,0,0,115,357,405,25,"G6"
1157140796,1104527628,4384,0,55526,1,702676060,935941798,1,1,1,1,1157134716,1104309466,1255,0,16637,1,375411956,-1580956887,1,1,1,1,1157139071,1104763451,7114,0,87717,1,0,0,1,1,1,1,1157139071,1104763451,7114,0,2993,1,0,0,1,1,1,1,1,0,0,-1125865298,0,0,386,116,347,14,"G6"
