"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1130345135,1092784177,8375,0,105823,1,1434672284,-772073773,1,1,1,1,1130299372,1092690820,2175,0,28306,1,-961361844,-2006523264,1,1,1,1,1130355786,1093248696,2819,0,34874,1,0,0,1,1,1,1,1130355786,1093248696,2819,0,1136,1,0,0,1,1,1,1,1,0,0,-1093847829,0,0,737,197,138,21,"H9"
1150165503,1092221287,8391,0,108084,1,1000388739,-746743509,1,1,1,1,1150162527,1091792786,1213,0,15263,1,2065533697,-1096042562,1,1,1,1,1150165310,1092685921,9391,0,66899,1,0,0,1,1,1,1,1150165310,1092685921,9391,0,1726,1,0,0,1,1,1,1,1,0,0,-1529620085,0,0,752,106,265,15,"H9"
1156957453,1093283523,27519,0,345067,1,1347632227,868920998,1,1,1,1,1156954353,1092873198,3501,0,45641,1,-172995277,226130155,1,1,1,1,1156955876,1093747940,53078,0,900725,1,0,0,1,1,1,1,1156955876,1093747940,53078,0,32453,1,0,0,1,1,1,1,1,0,0,-1760616038,0,0,2402,318,3795,30,"H9"
1151713147,1095061186,1395,0,18253,1,1692906817,-1439342297,1,1,1,1,1151705379,1095878624,1328,0,19576,1,1107413170,-1523511080,1,1,1,1,1151712639,1095525241,62274,0,1268005,1,0,0,1,1,1,1,1151712639,1095525241,62274,0,96868,1,0,0,1,1,1,1,1,0,0,1799442999,0,0,127,136,11329,12,"H9"
1150868886,1099423686,16459,0,200358,1,1186450096,323647752,1,1,1,1,1150862571,1099397627,3590,0,46210,1,-1940415428,-695039287,1,1,1,1,1150868550,1099655217,2633,0,36842,1,0,0,1,1,1,1,1150868550,1099655217,2633,0,1051,1,0,0,1,1,1,1,1,0,0,1144690549,0,0,1394,322,146,29,"H9"
1149121842,1099790311,8405,0,111106,1,-871301478,1459746144,1,1,1,1,1149110135,1099568086,1137,0,14742,1,1485936553,-1334347457,1,1,1,1,1149121857,1100021767,5741,0,59248,1,0,0,1,1,1,1,1149121857,1100021767,5741,0,1634,1,0,0,1,1,1,1,1,0,0,928359488,0,0,773,103,235,15,"H9"
1139446088,1100839879,2454,0,29260,1,-2143570984,-358745730,1,1,1,1,1139434893,1100674587,1204,0,15055,1,-1868381351,1621845837,1,1,1,1,1139449775,1101071121,5628,0,61875,1,0,0,1,1,1,1,1139449775,1101071121,5628,0,1949,1,0,0,1,1,1,1,1,0,0,-131867020,0,0,204,105,245,13,"H9"
1150286147,1100881788,1329,0,16276,1,-744532440,-2145900347,1,1,1,1,1150280360,1100667040,3675,0,47794,1,246965815,-1509358302,1,1,1,1,1150285929,1101113022,10795,0,141397,1,0,0,1,1,1,1,1150285929,1101113022,10795,0,4091,1,0,0,1,1,1,1,1,0,0,-1380030713,0,0,113,333,560,25,"H9"
1157375365,1101136969,1310,0,16337,1,-1117813549,606768961,1,1,1,1,1157372413,1101086240,1368,0,17299,1,-1405533606,-1788845561,1,1,1,1,1157373703,1101368151,62566,0,1320900,1,0,0,1,1,1,1,1157373703,1101368151,62566,0,104153,1,0,0,1,1,1,1,1,0,0,1540020251,0,0,114,121,12181,12,"H9"
1153652775,1101474577,2760,0,33529,1,-494466136,-534805346,1,1,1,1,1153646808,1101461366,2353,0,31289,1,-1273279826,-467396326,1,1,1,1,1153651871,1101705690,2069,0,24493,1,0,0,1,1,1,1,1153651871,1101705690,2069,0,623,1,0,0,1,1,1,1,1,0,0,-1613008692,0,0,233,218,97,19,"H9"
