"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1141919344,1091459505,26778,0,326231,1,461800264,41076102,1,1,1,1,1141913037,1091362905,3236,0,41514,1,908069902,1087760422,1,1,1,1,1141920493,1091917339,61598,0,1146146,1,0,0,1,1,1,1,1141920493,1091917339,61598,0,53314,1,0,0,1,1,1,1,1,0,0,-455558666,0,0,2271,289,6235,30,"A6"
1147372149,1091185156,4708,0,59054,1,1064402236,-2119337335,1,1,1,1,1147359647,1090660485,3565,0,47041,1,-1727717021,1191955912,1,1,1,1,1147372190,1091643046,60179,0,1222216,1,0,0,1,1,1,1,1147372190,1091643046,60179,0,73495,1,0,0,1,1,1,1,1,0,0,-1279534097,0,0,411,328,8595,27,"A6"
1130436266,1092718206,4850,0,58433,1,-1582176494,-1044542985,1,1,1,1,1130411471,1092579143,2333,0,28474,1,-1455874471,1805231741,1,1,1,1,1130445555,1093175784,7872,0,74140,1,0,0,1,1,1,1,1130445555,1093175784,7872,0,2160,1,0,0,1,1,1,1,1,0,0,-689803833,0,0,407,198,294,20,"A6"
1141017325,1092901228,7559,0,98109,1,-1818084314,1188909497,1,1,1,1,1141010805,1092701950,1025,0,13613,1,390527867,-2056460504,1,1,1,1,1141018658,1093358769,56497,0,281828,1,0,0,1,1,1,1,1141018658,1093358769,56497,0,9188,1,0,0,1,1,1,1,1,0,0,699014787,0,0,683,95,1075,15,"A6"
1154120688,1092170416,2763,0,34106,1,-550599939,1907587070,1,1,1,1,1154114301,1091682770,2324,0,31065,1,285912764,1509632960,1,1,1,1,1154119526,1092628106,3896,0,29351,1,0,0,1,1,1,1,1154119526,1092628106,3896,0,697,1,0,0,1,1,1,1,1,0,0,-208430193,0,0,237,217,116,19,"A6"
1117797364,1093225197,1380,0,17564,1,-584485504,549708864,1,1,1,1,1117744169,1092767896,1391,0,17869,1,1546463766,582629175,1,1,1,1,1117819804,1093682672,61754,0,1269760,1,0,0,1,1,1,1,1117819804,1093682672,61754,0,56410,1,0,0,1,1,1,1,1,0,0,-1732053532,0,0,122,125,6597,12,"A6"
1127303789,1093859417,4630,0,58016,1,-1597771181,713064068,1,1,1,1,1127278235,1093708403,1291,0,16037,1,315355293,-965477153,1,1,1,1,1127313715,1094316763,9622,0,108069,1,0,0,1,1,1,1,1127313715,1094316763,9622,0,3034,1,0,0,1,1,1,1,1,0,0,-166238150,0,0,404,112,428,14,"A6"
1147103513,1093402673,4684,0,60149,1,1463770192,-1306077355,1,1,1,1,1147092230,1093348569,3698,0,49527,1,1898077665,-537402070,1,1,1,1,1147103608,1093860112,61292,0,1218314,1,0,0,1,1,1,1,1147103608,1093860112,61292,0,79716,1,0,0,1,1,1,1,1,0,0,-939464805,0,0,419,345,9323,27,"A6"
1156051715,1095060504,1416,0,17284,1,-316141330,-208734814,1,1,1,1,1156046131,1094868747,2345,0,30277,1,-2034537278,379747909,1,1,1,1,1156050161,1095517606,22688,0,379439,1,0,0,1,1,1,1,1156050161,1095517606,22688,0,12676,1,0,0,1,1,1,1,1,0,0,1734881596,0,0,120,211,1503,18,"A6"
1152391282,1095764319,5028,0,61982,1,137200527,1722227698,1,1,1,1,1152385153,1095656795,1228,0,16839,1,769450963,1443388558,1,1,1,1,1152390472,1096221278,11356,0,156189,1,0,0,1,1,1,1,1152390472,1096221278,11356,0,4963,1,0,0,1,1,1,1,1,0,0,167251218,0,0,431,117,619,14,"A6"
