"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1141092758,1091548423,1413,0,17565,1,-1475414015,-504686166,1,1,1,1,1141081166,1091508598,1293,0,16994,1,355769628,1131238885,1,1,1,1,1141094162,1092182365,60128,0,1151773,1,0,0,1,1,1,1,1141094162,1092182365,60128,0,49473,1,0,0,1,1,1,1,1,0,0,-479535056,0,0,122,118,5786,12,"B4"
1133783848,1092706955,4698,0,58300,1,-343388184,-1854129278,1,1,1,1,1133769443,1092622560,1235,0,15740,1,1285779209,-1786750054,1,1,1,1,1133788193,1093340662,4674,0,55151,1,0,0,1,1,1,1,1133788193,1093340662,4674,0,1609,1,0,0,1,1,1,1,1,0,0,873904176,0,0,406,110,218,14,"B4"
1147712030,1092437308,27229,0,354201,1,-242724885,-923512368,1,1,1,1,1147699913,1092423753,3487,0,44619,1,-1405534131,2052235656,1,1,1,1,1147712086,1093071069,34176,0,558267,1,0,0,1,1,1,1,1147712086,1093071069,34176,0,19709,1,0,0,1,1,1,1,1,0,0,1181202323,0,0,2465,311,2211,30,"B4"
1150348570,1092412928,1448,0,18054,1,-227111277,-665156118,1,1,1,1,1150345218,1092430963,2481,0,31127,1,-789784073,-2004741216,1,1,1,1,1150348217,1093046694,3923,0,51826,1,0,0,1,1,1,1,1150348217,1093046694,3923,0,1410,1,0,0,1,1,1,1,1,0,0,-1766599063,0,0,126,217,205,18,"B4"
1149347094,1095707206,4771,0,59750,1,1720093071,-1480056513,1,1,1,1,1149340645,1095698388,1177,0,15660,1,307716160,-1784907226,1,1,1,1,1149346945,1096340302,5739,0,60965,1,0,0,1,1,1,1,1149346945,1096340302,5739,0,1778,1,0,0,1,1,1,1,1,0,0,-1974378273,0,0,416,109,241,14,"B4"
1151517203,1095991027,1318,0,17474,1,1143936925,-2042530516,1,1,1,1,1151509543,1095861846,1313,0,16536,1,-1401883172,1454512389,1,1,1,1,1151516612,1096624065,61942,0,1247828,1,0,0,1,1,1,1,1151516612,1096624065,61942,0,69579,1,0,0,1,1,1,1,1,0,0,1070342306,0,0,122,115,8137,12,"B4"
1152648737,1095664826,16188,0,195774,1,720340791,-1464914372,1,1,1,1,1152645466,1095639551,3552,0,45130,1,-753973616,280557580,1,1,1,1,1152647916,1096297930,2910,0,30891,1,0,0,1,1,1,1,1152647916,1096297930,2910,0,556,1,0,0,1,1,1,1,1,0,0,976970415,0,0,1363,315,122,29,"B4"
1132982883,1097838265,2606,0,33949,1,1914703726,-1365700667,1,1,1,1,1132957970,1097806776,4076,0,51436,1,-5106084,-893796756,1,1,1,1,1132987391,1098470927,2950,0,38346,1,0,0,1,1,1,1,1132987391,1098470927,2950,0,1047,1,0,0,1,1,1,1,1,0,0,-814261462,0,0,236,359,152,26,"B4"
1136267098,1097759938,4715,0,59427,1,1470410557,2012658375,1,1,1,1,1136241464,1097700215,1242,0,15967,1,1271848951,651494382,1,1,1,1,1136270937,1098392616,16419,0,160352,1,0,0,1,1,1,1,1136270937,1098392616,16419,0,5300,1,0,0,1,1,1,1,1,0,0,-671739226,0,0,414,111,635,14,"B4"
1151265044,1097623184,15977,0,196238,1,-828402152,-1852737857,1,1,1,1,1151261527,1097618493,3679,0,46082,1,1121656530,311297052,1,1,1,1,1151264504,1098255890,2370,0,32126,1,0,0,1,1,1,1,1151264504,1098255890,2370,0,602,1,0,0,1,1,1,1,1,0,0,1379313580,0,0,1366,321,127,29,"B4"
