"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1125063562,1091167079,16918,0,207994,1,-1520595522,-951610493,1,1,1,1,1125038538,1090682239,3786,0,47667,1,-1861726500,2071210968,1,1,1,1,1125073211,1091428143,7560,0,104850,1,0,0,1,1,1,1,1125073211,1091428143,7560,0,3259,1,0,0,1,1,1,1,1,0,0,226868809,0,0,1448,332,415,29,"C10"
1144099489,1091560042,2673,0,33809,1,-1648622647,-625272236,1,1,1,1,1144093383,1091396758,4004,0,50916,1,1523866797,-1787629565,1,1,1,1,1144100004,1091821025,18886,0,219168,1,0,0,1,1,1,1,1144100004,1091821025,18886,0,7299,1,0,0,1,1,1,1,1,0,0,1999993085,0,0,235,355,868,26,"C10"
1156070972,1092817447,27477,0,343788,1,-1619967691,-1732239012,1,1,1,1,1156064835,1092610930,3483,0,45743,1,2022376192,-383179099,1,1,1,1,1156069310,1093078174,64174,0,1312232,1,0,0,1,1,1,1,1156069310,1093078174,64174,0,173722,1,0,0,1,1,1,1,1,0,0,-1145497747,0,0,2393,319,20317,30,"C10"
1141980452,1094005153,2651,0,33601,1,-910406669,-1065273577,1,1,1,1,1141968479,1093767106,2349,0,30011,1,-1199711535,-2130095406,1,1,1,1,1141981400,1094265637,9052,0,93761,1,0,0,1,1,1,1,1141981400,1094265637,9052,0,2904,1,0,0,1,1,1,1,1,0,0,1669942037,0,0,234,209,371,19,"C10"
1144503650,1093625095,15902,0,199196,1,1361561599,-382673746,1,1,1,1,1144491910,1093488623,2065,0,27103,1,-1114564045,229145213,1,1,1,1,1144504083,1093885657,18692,0,167035,1,0,0,1,1,1,1,1144504083,1093885657,18692,0,5335,1,0,0,1,1,1,1,1,0,0,266036852,0,0,1386,189,661,22,"C10"
1146842221,1093661885,2633,0,33555,1,-630640987,575478258,1,1,1,1,1146831657,1093521202,2241,0,29476,1,-1922698665,-592750949,1,1,1,1,1146842176,1093922439,4653,0,46058,1,0,0,1,1,1,1,1146842176,1093922439,4653,0,1054,1,0,0,1,1,1,1,1,0,0,-947553041,0,0,234,205,182,19,"C10"
1150811610,1093886839,15866,0,202472,1,1533021577,987830599,1,1,1,1,1150805740,1093695109,2258,0,27481,1,-701515434,-22974426,1,1,1,1,1150811022,1094147347,20626,0,258244,1,0,0,1,1,1,1,1150811022,1094147347,20626,0,8387,1,0,0,1,1,1,1,1,0,0,-74742926,0,0,1409,192,1023,22,"C10"
1142776814,1094654216,16315,0,203219,1,1684927391,342910084,1,1,1,1,1142765640,1094521343,2139,0,27686,1,-1714914774,1802006072,1,1,1,1,1142777599,1094914568,16499,0,262808,1,0,0,1,1,1,1,1142777599,1094914568,16499,0,8681,1,0,0,1,1,1,1,1,0,0,-1968904356,0,0,1414,193,1041,22,"C10"
1152227789,1095962584,4744,0,61330,1,-2003000046,-1529184834,1,1,1,1,1152221723,1095774216,3874,0,51728,1,-1635741339,346732590,1,1,1,1,1152226912,1096222669,61822,0,1286394,1,0,0,1,1,1,1,1152226912,1096222669,61822,0,104684,1,0,0,1,1,1,1,1,0,0,-1984420280,0,0,427,361,12243,27,"C10"
1148771788,1096877391,2507,0,32969,1,1513317887,386128881,1,1,1,1,1148764872,1096711597,2361,0,29759,1,-2126111668,-1139734424,1,1,1,1,1148771349,1097137289,6425,0,60628,1,0,0,1,1,1,1,1148771349,1097137289,6425,0,1903,1,0,0,1,1,1,1,1,0,0,-1064421637,0,0,229,207,240,19,"C10"
1140162885,1098826521,8460,0,105842,1,1598503600,1875888099,1,1,1,1,1140138786,1098679379,2047,0,27127,1,2141400125,-794332249,1,1,1,1,1140165382,1098996834,3615,0,51682,1,0,0,1,1,1,1,1140165382,1098996834,3615,0,1165,1,0,0,1,1,1,1,1,0,0,1128112970,0,0,737,189,205,21,"C10"
1133966817,1099801889,4660,0,58400,1,45777081,607178938,1,1,1,1,1133943275,1099542567,3656,0,48547,1,965363293,-946632131,1,1,1,1,1133970579,1099931448,61347,0,1316429,1,0,0,1,1,1,1,1133970579,1099931448,61347,0,94894,1,0,0,1,1,1,1,1,0,0,1586129905,0,0,406,338,11098,27,"C10"
1155406688,1100527450,1338,0,17046,1,-1657508272,1454332467,1,1,1,1,1155400590,1100438779,2124,0,29638,1,-497967223,-1693757263,1,1,1,1,1155405162,1100656861,20198,0,251526,1,0,0,1,1,1,1,1155405162,1100656861,20198,0,8407,1,0,0,1,1,1,1,1,0,0,-1042194487,0,0,119,207,996,18,"C10"
1113328765,1101085511,2454,0,32979,1,-389530587,2023827035,1,1,1,1,1113140541,1100980456,3863,0,49491,1,413238917,-2050764223,1,1,1,1,1113372075,1101214808,13644,0,213096,1,0,0,1,1,1,1,1113372075,1101214808,13644,0,7006,1,0,0,1,1,1,1,1,0,0,1842711446,0,0,230,345,844,26,"C10"
