"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1147208821,1091234592,2535,0,32060,1,-1060634639,-227207253,1,1,1,1,1147202683,1090765093,1159,0,15683,1,-941174642,-1179246903,1,1,1,1,1147208917,1091830612,24791,0,360904,1,0,0,1,1,1,1,1147208917,1091830612,24791,0,12186,1,0,0,1,1,1,1,1,0,0,323247707,0,0,223,109,1429,13,"D12"
1148799915,1091737726,1413,0,18445,1,-1982257896,1814853625,1,1,1,1,1148786413,1091632989,2472,0,30928,1,-2139019158,-1826416512,1,1,1,1,1148799688,1092333644,27208,0,357721,1,0,0,1,1,1,1,1148799688,1092333644,27208,0,11961,1,0,0,1,1,1,1,1,0,0,33512831,0,0,128,216,1417,18,"D12"
1155047181,1091578677,1457,0,18313,1,16236356,1676193484,1,1,1,1,1155040897,1091484681,2421,0,32421,1,-338134846,-1149219373,1,1,1,1,1155045840,1092174627,26452,0,290447,1,0,0,1,1,1,1,1155045840,1092174627,26452,0,9582,1,0,0,1,1,1,1,1,0,0,-1725076050,0,0,127,226,1150,18,"D12"
1133896789,1092692301,8268,0,103451,1,152463364,1373462877,1,1,1,1,1133872898,1092600752,1095,0,14068,1,-1904965639,401775445,1,1,1,1,1133900985,1093288024,11651,0,96187,1,0,0,1,1,1,1,1133900985,1093288024,11651,0,2863,1,0,0,1,1,1,1,1,0,0,-1492657044,0,0,720,98,381,15,"D12"
1144670445,1092624445,4800,0,57452,1,-538631380,-1223032531,1,1,1,1,1144663688,1092565709,1167,0,15447,1,-1727478018,1223677806,1,1,1,1,1144671058,1093220182,17330,0,156603,1,0,0,1,1,1,1,1144671058,1093220182,17330,0,5045,1,0,0,1,1,1,1,1,0,0,-462339539,0,0,400,108,620,14,"D12"
1121703641,1094523521,4500,0,54555,1,-1385585280,130214937,1,1,1,1,1121603717,1094113291,2117,0,26378,1,-472027374,-166080319,1,1,1,1,1121725492,1095118872,27046,0,243165,1,0,0,1,1,1,1,1121725492,1095118872,27046,0,8036,1,0,0,1,1,1,1,1,0,0,-306067180,0,0,380,184,963,20,"D12"
1146513831,1094466284,16287,0,209228,1,-940516238,-1205714336,1,1,1,1,1146502246,1094461955,3526,0,46787,1,-1671495206,301465634,1,1,1,1,1146514069,1095061646,10848,0,96305,1,0,0,1,1,1,1,1146514069,1095061646,10848,0,2874,1,0,0,1,1,1,1,1,0,0,65483375,0,0,1456,326,381,29,"D12"
1156661058,1095755016,4594,0,58240,1,1802151987,103834374,1,1,1,1,1156654667,1095717348,3938,0,50315,1,818146029,-1924476551,1,1,1,1,1156659389,1096350116,62715,0,1339468,1,0,0,1,1,1,1,1156659389,1096350116,62715,0,87264,1,0,0,1,1,1,1,1,0,0,97426331,0,0,405,351,10206,27,"D12"
1128608878,1098008193,1423,0,18072,1,373963195,1043796833,1,1,1,1,1128555995,1097949258,2431,0,30507,1,752558706,-1197668954,1,1,1,1,1128618639,1098602834,27080,0,405931,1,0,0,1,1,1,1,1128618639,1098602834,27080,0,13430,1,0,0,1,1,1,1,1,0,0,-1923579190,0,0,126,213,1607,18,"D12"
1152852888,1097557779,2702,0,33848,1,147562263,-862850910,1,1,1,1,1152849523,1097573318,2349,0,30914,1,-1976329359,1158977071,1,1,1,1,1152851994,1098152512,8979,0,138029,1,0,0,1,1,1,1,1152851994,1098152512,8979,0,4696,1,0,0,1,1,1,1,1,0,0,11910968,0,0,236,215,547,19,"D12"
