"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1154873598,1090643179,2751,0,33812,1,2039399762,1314962186,1,1,1,1,1154867653,1090560704,4005,0,51581,1,777153640,1582229281,1,1,1,1,1154871823,1091338814,11134,0,169456,1,0,0,1,1,1,1,1154871823,1091338814,11134,0,5898,1,0,0,1,1,1,1,1,0,0,1425899693,0,0,235,360,671,26,"E8"
1147370265,1091499016,8073,0,106111,1,966614814,-822637760,1,1,1,1,1147357615,1090956574,1038,0,13824,1,-1339481035,1749801491,1,1,1,1,1147370607,1092194397,20892,0,250205,1,0,0,1,1,1,1,1147370607,1092194397,20892,0,8356,1,0,0,1,1,1,1,1,0,0,-454669708,0,0,739,96,991,15,"E8"
1150299196,1091735953,4941,0,63465,1,-1273662016,915028012,1,1,1,1,1150295690,1091657347,3909,0,52336,1,-459087147,904687394,1,1,1,1,1150298776,1092431264,60845,0,1226247,1,0,0,1,1,1,1,1150298776,1092431264,60845,0,78532,1,0,0,1,1,1,1,1,0,0,898941245,0,0,442,365,9184,27,"E8"
1148744957,1092723802,1380,0,17650,1,-158081104,-2111712532,1,1,1,1,1148732716,1092636827,3801,0,49865,1,-232929422,1630649170,1,1,1,1,1148744892,1093418820,12319,0,154193,1,0,0,1,1,1,1,1148744892,1093418820,12319,0,4960,1,0,0,1,1,1,1,1,0,0,339311746,0,0,123,348,611,25,"E8"
1151051466,1092871260,16011,0,189545,1,-1298387667,714947944,1,1,1,1,1151055406,1092720641,3511,0,44821,1,1907715239,1190049282,1,1,1,1,1151050823,1093566235,10657,0,132879,1,0,0,1,1,1,1,1151050823,1093566235,10657,0,4169,1,0,0,1,1,1,1,1,0,0,-928235058,0,0,1319,312,526,29,"E8"
1154015037,1093201332,1324,0,16548,1,1399288901,-1644483490,1,1,1,1,1154006806,1092585135,1256,0,18274,1,1712581846,293789489,1,1,1,1,1154013516,1093896209,61458,0,1320169,1,0,0,1,1,1,1,1154013516,1093896209,61458,0,94115,1,0,0,1,1,1,1,1,0,0,-464194510,0,0,115,127,11007,12,"E8"
1142393433,1095127210,1376,0,17406,1,2125169960,-937658033,1,1,1,1,1142386722,1094998185,2373,0,29273,1,1210639487,-229618550,1,1,1,1,1142395249,1095821516,38920,0,515255,1,0,0,1,1,1,1,1142395249,1095821516,38920,0,17748,1,0,0,1,1,1,1,1,0,0,727541854,0,0,121,204,2040,18,"E8"
1142815075,1094640208,1373,0,18315,1,-1090361814,-753466007,1,1,1,1,1142802888,1094596474,1424,0,18131,1,497919115,601214880,1,1,1,1,1142816766,1095334659,62160,0,1272714,1,0,0,1,1,1,1,1142816766,1095334659,62160,0,100714,1,0,0,1,1,1,1,1,0,0,419328584,0,0,127,126,11779,12,"E8"
1146290760,1094792404,8337,0,105342,1,128651453,-1640651250,1,1,1,1,1146284983,1094704895,1137,0,14214,1,-1849254716,1485441060,1,1,1,1,1146291422,1095486810,51089,0,407426,1,0,0,1,1,1,1,1146291422,1095486810,51089,0,13807,1,0,0,1,1,1,1,1,0,0,554301879,0,0,733,99,1615,15,"E8"
1149542428,1094531511,2700,0,35302,1,-814259993,-85164498,1,1,1,1,1149535972,1094516505,3848,0,52124,1,-1535513728,83058227,1,1,1,1,1149542232,1095225994,5226,0,70003,1,0,0,1,1,1,1,1149542232,1095225994,5226,0,2045,1,0,0,1,1,1,1,1,0,0,985209569,0,0,246,363,277,26,"E8"
