"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1145180125,1091411602,2794,0,33706,1,-1085800809,-233696375,1,1,1,1,1145172717,1091392043,2393,0,30292,1,726838727,-471862246,1,1,1,1,1145181061,1092113023,3731,0,47766,1,0,0,1,1,1,1,1145181061,1092113023,3731,0,1471,1,0,0,1,1,1,1,1,0,0,425833278,0,0,235,211,189,19,"F11"
1122766239,1095299711,7379,0,89232,1,350972243,-1210630911,1,1,1,1,1122663175,1095195496,1851,0,23803,1,-95458002,-1111137613,1,1,1,1,1122799275,1095999981,3855,0,57756,1,0,0,1,1,1,1,1122799275,1095999981,3855,0,1604,1,0,0,1,1,1,1,1,0,0,-1689752838,0,0,621,166,229,21,"F11"
1146799949,1094431716,7603,0,96314,1,1904291289,-230636988,1,1,1,1,1146794027,1094429284,1970,0,25275,1,-553316259,-437398450,1,1,1,1,1146800405,1095132243,4805,0,54636,1,0,0,1,1,1,1,1146800405,1095132243,4805,0,1873,1,0,0,1,1,1,1,1,0,0,1190332395,0,0,670,176,216,21,"F11"
1154578966,1095544352,1333,0,16678,1,-1088421767,1201601955,1,1,1,1,1154572705,1095492306,3848,0,48459,1,1610187293,-2090538261,1,1,1,1,1154577252,1096244549,8580,0,118750,1,0,0,1,1,1,1,1154577252,1096244549,8580,0,3558,1,0,0,1,1,1,1,1,0,0,-2098393232,0,0,116,338,470,25,"F11"
1140955688,1097483068,15843,0,201947,1,-1427649451,625528372,1,1,1,1,1140948342,1097068231,3476,0,46068,1,-1889788929,-1082225848,1,1,1,1,1140957875,1098182691,5937,0,78238,1,0,0,1,1,1,1,1140957875,1098182691,5937,0,2471,1,0,0,1,1,1,1,1,0,0,745328489,0,0,1406,321,310,29,"F11"
1156775875,1098713157,8083,0,101022,1,-794303364,-730580646,1,1,1,1,1156769271,1098286986,2167,0,27979,1,-1043692263,999329393,1,1,1,1,1156773510,1099160032,5807,0,89514,1,0,0,1,1,1,1,1156773510,1099160032,5807,0,2822,1,0,0,1,1,1,1,1,0,0,-1883050263,0,0,703,195,354,21,"F11"
1106251469,1099504905,8125,0,103341,1,-1434670231,110386324,1,1,1,1,1105852313,1099478788,1160,0,14490,1,540566189,84180173,1,1,1,1,1106397278,1099854329,11017,0,93850,1,0,0,1,1,1,1,1106397278,1099854329,11017,0,2970,1,0,0,1,1,1,1,1,0,0,-152823112,0,0,719,101,372,15,"F11"
1119573310,1100012274,8349,0,105801,1,-1931545668,-1474361464,1,1,1,1,1119479943,1099968889,1153,0,14450,1,1230918838,1738792988,1,1,1,1,1119607291,1100361547,10847,0,73845,1,0,0,1,1,1,1,1119607291,1100361547,10847,0,2433,1,0,0,1,1,1,1,1,0,0,1634765121,0,0,736,101,292,15,"F11"
1145600829,1100541759,8280,0,101131,1,23817276,-495787130,1,1,1,1,1145588108,1100500983,1975,0,26694,1,-1813567790,-1431012180,1,1,1,1,1145601640,1100890876,9916,0,116774,1,0,0,1,1,1,1,1145601640,1100890876,9916,0,3920,1,0,0,1,1,1,1,1,0,0,1159270710,0,0,704,186,462,21,"F11"
1149721767,1100545196,8432,0,106328,1,-31929418,-481168182,1,1,1,1,1149715423,1100493034,3732,0,48379,1,2000362032,-2095593192,1,1,1,1,1149721491,1100894312,5524,0,65915,1,0,0,1,1,1,1,1149721491,1100894312,5524,0,1945,1,0,0,1,1,1,1,1,0,0,-1823278993,0,0,740,337,261,28,"F11"
1153711753,1100195038,8165,0,105046,1,881882857,77275557,1,1,1,1,1153705410,1099991009,3784,0,49591,1,-1256892003,1433792091,1,1,1,1,1153710295,1100544257,5656,0,53975,1,0,0,1,1,1,1,1153710295,1100544257,5656,0,1679,1,0,0,1,1,1,1,1,0,0,-580215933,0,0,731,346,214,28,"F11"
1156227767,1100888290,15100,0,193290,1,1251427369,26042225,1,1,1,1,1156221219,1100877313,2079,0,26615,1,-641732544,601279284,1,1,1,1,1156225564,1101237304,11071,0,181051,1,0,0,1,1,1,1,1156225564,1101237304,11071,0,6032,1,0,0,1,1,1,1,1,0,0,-356896670,0,0,1345,186,717,22,"F11"
1144901497,1101345367,8174,0,103356,1,-1277359409,1756782745,1,1,1,1,1144887529,1101110894,2090,0,27143,1,837148850,972985812,1,1,1,1,1144902515,1101694246,13293,0,85397,1,0,0,1,1,1,1,1144902515,1101694246,13293,0,2727,1,0,0,1,1,1,1,1,0,0,424405214,0,0,719,189,338,21,"F11"
1141574996,1103088201,2521,0,31485,1,-828643526,-843305950,1,1,1,1,1141567782,1103058127,1219,0,15948,1,-1920590373,966286848,1,1,1,1,1141576999,1103436563,11552,0,162364,1,0,0,1,1,1,1,1141576999,1103436563,11552,0,5129,1,0,0,1,1,1,1,1,0,0,-1145642825,0,0,219,111,643,13,"F11"
1157031767,1103175062,2387,0,31885,1,1902040332,-1993990932,1,1,1,1,1157024473,1103134891,1313,0,16477,1,-1198825935,409243106,1,1,1,1,1157029326,1103523399,12011,0,165749,1,0,0,1,1,1,1,1157029326,1103523399,12011,0,5392,1,0,0,1,1,1,1,1,0,0,-1158962281,0,0,222,115,656,13,"F11"
1135700550,1103462750,15379,0,200400,1,-224107592,-828817242,1,1,1,1,1135675096,1103261250,2185,0,27187,1,-344797906,-1463830763,1,1,1,1,1135706511,1103811002,10963,0,141529,1,0,0,1,1,1,1,1135706511,1103811002,10963,0,4661,1,0,0,1,1,1,1,1,0,0,-2016220370,0,0,1395,189,560,22,"F11"
1152982644,1103462774,2568,0,32444,1,-48915868,138205704,1,1,1,1,1152976084,1103471661,2368,0,30511,1,-1491225353,-493532016,1,1,1,1,1152981402,1103811026,4359,0,60381,1,0,0,1,1,1,1,1152981402,1103811026,4359,0,1858,1,0,0,1,1,1,1,1,0,0,1527954795,0,0,226,213,239,19,"F11"
1131326813,1104121812,1336,0,16708,1,-1246716191,1495064029,1,1,1,1,1131281865,1104104844,1239,0,16628,1,2029833953,-815186239,1,1,1,1,1131340989,1104469868,61816,0,1336593,1,0,0,1,1,1,1,1131340989,1104469868,61816,0,101674,1,0,0,1,1,1,1,1,0,0,564139487,0,0,116,116,11891,12,"F11"
1143471023,1104360028,8217,0,103198,1,865571090,-1118044937,1,1,1,1,1143464500,1104509611,2013,0,27033,1,1503120296,-1927516119,1,1,1,1,1143472465,1104708014,6461,0,78842,1,0,0,1,1,1,1,1143472465,1104708014,6461,0,2314,1,0,0,1,1,1,1,1,0,0,-533350449,0,0,718,188,312,21,"F11"
1155152860,1104009494,4803,0,59860,1,-340962206,-1148003287,1,1,1,1,1155145990,1104022586,2242,0,28566,1,1860219346,2130493824,1,1,1,1,1155150976,1104357584,7099,0,103293,1,0,0,1,1,1,1,1155150976,1104357584,7099,0,2929,1,0,0,1,1,1,1,1,0,0,-201746413,0,0,417,199,409,20,"F11"
1136491264,1105180526,28110,0,343004,1,-858758183,724651454,1,1,1,1,1136466273,1105216199,3384,0,43817,1,-478691667,-754366303,1,1,1,1,1136496991,1105528269,63025,0,1290918,1,0,0,1,1,1,1,1136496991,1105528269,63025,0,102811,1,0,0,1,1,1,1,1,0,0,-325100783,0,0,2387,305,12024,30,"F11"
1138621421,1105388779,4821,0,60360,1,-974319677,-1216480465,1,1,1,1,1138596109,1105328543,2262,0,29527,1,-1418526111,-1602667039,1,1,1,1,1138626517,1105736460,6170,0,83894,1,0,0,1,1,1,1,1138626517,1105736460,6170,0,2660,1,0,0,1,1,1,1,1,0,0,-69535800,0,0,420,206,332,20,"F11"
1152859126,1105383530,8634,0,109685,1,-1068862885,-592841363,1,1,1,1,1152852729,1105552226,3918,0,50909,1,850317938,2085432764,1,1,1,1,1152857921,1105731213,7124,0,102125,1,0,0,1,1,1,1,1152857921,1105731213,7124,0,3105,1,0,0,1,1,1,1,1,0,0,602130323,0,0,763,355,404,28,"F11"
1154627676,1105671473,4740,0,61002,1,-1008506278,1829314453,1,1,1,1,1154621614,1105655083,2447,0,30670,1,-345398178,168885900,1,1,1,1,1154625947,1106019070,9392,0,111566,1,0,0,1,1,1,1,1154625947,1106019070,9392,0,3774,1,0,0,1,1,1,1,1,0,0,1866113941,0,0,425,214,442,20,"F11"
1157537162,1106164326,8185,0,104849,1,-495004060,-1209443194,1,1,1,1,1157530998,1106142755,1220,0,15121,1,-1886663271,-434297004,1,1,1,1,1157534572,1106511778,3474,0,54614,1,0,0,1,1,1,1,1157534572,1106511778,3474,0,1764,1,0,0,1,1,1,1,1,0,0,966635884,0,0,730,105,216,15,"F11"
