"CL1.X","CL1.Y","CL1.Peak","CL1.Ch.Value","CL1.Area","CL1.Valid","CL1.SR","CL1.MBR","CL1.Pass.Mini.Ratio","CL1.Pass.Max.Ratio","CL1.Pass.Nearby","CL1.Pass.Edge","CL2.X","CL2.Y","CL2.Peak","CL2.Ch.Value","CL2.Area","CL2.Valid","CL2.SR","CL2.MBR","CL2.Pass.Mini.Ratio","CL2.Pass.Max.Ratio","CL2.Pass.Nearby","CL2.Pass.Edge","RP1L.X","RP1L.Y","RP1L.Peak","RP1L.Ch.Value","RP1L.Area","RP1L.Valid","RP1L.SR","RP1L.MBR","RP1L.Pass.Mini.Ratio","RP1L.Pass.Max.Ratio","RP1L.Pass.Nearby","RP1L.Pass.Edge","RP1S.X","RP1S.Y","RP1S.Peak","RP1S.Ch.Value","RP1S.Area","RP1S.Valid","RP1S.SR","RP1S.MBR","RP1S.Pass.Mini.Ratio","RP1S.Pass.Max.Ratio","RP1S.Pass.Nearby","RP1S.Pass.Edge","Bead.Valid","CL2.Offset.X","CL2.Offset.Y","CL1_CL2.Dist","RP1.Offset.X","RP1.Offset.Y","CL1.Value","CL2.Value","RP1.Value","Bead.ID","well"
1141296539,1091511000,4558,0,59055,1,-980063399,-1573839510,1,1,1,1,1141290275,1091377663,3947,0,49921,1,1239165521,2104509025,1,1,1,1,1141298894,1092019785,64354,0,1286762,1,0,0,1,1,1,1,1141298894,1092019785,64354,0,127193,1,0,0,1,1,1,1,1,0,0,-1141366874,0,0,411,348,14875,27,"G10"
1151495160,1091509839,7437,0,99067,1,1809737146,-115929043,1,1,1,1,1151491664,1091386929,1821,0,26131,1,-220663268,1355665312,1,1,1,1,1151494496,1092018624,3057,0,39700,1,0,0,1,1,1,1,1151494496,1092018624,3057,0,1033,1,0,0,1,1,1,1,1,0,0,-1948989467,0,0,690,182,157,21,"G10"
1153025404,1093148721,1389,0,17318,1,2076726168,-1481091621,1,1,1,1,1153022348,1093413314,1341,0,17674,1,-1982915311,1976161257,1,1,1,1,1153024288,1093657022,65277,0,1332853,1,0,0,1,1,1,1,1153024288,1093657022,65277,0,217949,1,0,0,1,1,1,1,1,0,0,-251541141,0,0,121,123,25489,12,"G10"
1133140406,1093607809,2679,0,32838,1,1425299631,1460168551,1,1,1,1,1133116920,1093490471,1279,0,16335,1,1153787602,-1040415402,1,1,1,1,1133147659,1094115974,9337,0,97530,1,0,0,1,1,1,1,1133147659,1094115974,9337,0,2947,1,0,0,1,1,1,1,1,0,0,-2126528893,0,0,229,114,386,13,"G10"
1138306082,1093296729,1371,0,17848,1,858068567,1029945093,1,1,1,1,1138292735,1092803569,3997,0,50599,1,-1915896365,692555943,1,1,1,1,1138311808,1093804986,23063,0,190334,1,0,0,1,1,1,1,1138311808,1093804986,23063,0,5987,1,0,0,1,1,1,1,1,0,0,-1454562495,0,0,124,353,754,25,"G10"
1153861847,1093666633,8215,0,101846,1,925524682,20916912,1,1,1,1,1153858637,1093517507,3774,0,48396,1,2112717606,-1587139332,1,1,1,1,1153860484,1094174781,7933,0,126447,1,0,0,1,1,1,1,1153860484,1094174781,7933,0,4075,1,0,0,1,1,1,1,1,0,0,1945705750,0,0,709,337,501,28,"G10"
1154146334,1093946175,4461,0,57845,1,-1135584483,-27917844,1,1,1,1,1154143435,1093726095,1100,0,15560,1,262324488,-110410470,1,1,1,1,1154144886,1094454240,4763,0,58494,1,0,0,1,1,1,1,1154144886,1094454240,4763,0,1688,1,0,0,1,1,1,1,1,0,0,-415206827,0,0,403,108,232,14,"G10"
1155348229,1093594190,4637,0,59456,1,607157199,-1571893305,1,1,1,1,1155342149,1093433853,3832,0,50320,1,-87515242,1253666130,1,1,1,1,1155346426,1094102359,60945,0,1305324,1,0,0,1,1,1,1,1155346426,1094102359,60945,0,74543,1,0,0,1,1,1,1,1,0,0,1201252092,0,0,414,351,8718,27,"G10"
1155861182,1095529567,1353,0,16331,1,-83100441,-1632145431,1,1,1,1,1155857767,1095410331,1347,0,17030,1,1848668669,1950010988,1,1,1,1,1155859227,1096037164,63092,0,1319912,1,0,0,1,1,1,1,1155859227,1096037164,63092,0,93711,1,0,0,1,1,1,1,1,0,0,380389760,0,0,114,119,10960,12,"G10"
1155074247,1096461103,7876,0,98940,1,-399866290,1902739100,1,1,1,1,1155070706,1095976167,1132,0,14559,1,-1623587969,52510762,1,1,1,1,1155072525,1096968425,5301,0,57373,1,0,0,1,1,1,1,1155072525,1096968425,5301,0,1733,1,0,0,1,1,1,1,1,0,0,-1971523931,0,0,689,101,227,15,"G10"
1150426323,1098944394,2637,0,32919,1,943928097,-768864251,1,1,1,1,1150420157,1098844636,1274,0,16748,1,1743445907,1553040479,1,1,1,1,1150425975,1099197682,5684,0,81308,1,0,0,1,1,1,1,1150425975,1099197682,5684,0,2426,1,0,0,1,1,1,1,1,0,0,-1990816461,0,0,229,117,322,13,"G10"
1151631176,1099037471,26428,0,338201,1,1727776599,-2101098900,1,1,1,1,1151624882,1098950992,3397,0,43294,1,-661720597,144243601,1,1,1,1,1151630472,1099290732,61915,0,1237110,1,0,0,1,1,1,1,1151630472,1099290732,61915,0,69986,1,0,0,1,1,1,1,1,0,0,428749621,0,0,2354,302,8185,30,"G10"
1152103283,1098726071,4664,0,57355,1,-2013581896,2032349619,1,1,1,1,1152097704,1098202556,3752,0,48308,1,-567509295,1853909457,1,1,1,1,1152102439,1099070185,61814,0,1213672,1,0,0,1,1,1,1,1152102439,1099070185,61814,0,73187,1,0,0,1,1,1,1,1,0,0,256899456,0,0,399,337,8559,27,"G10"
1142455572,1099442699,4522,0,58242,1,-1893239281,-508534983,1,1,1,1,1142443485,1099364356,3730,0,47330,1,-1263187779,478952829,1,1,1,1,1142457584,1099695840,60760,0,1244815,1,0,0,1,1,1,1,1142457584,1099695840,60760,0,78432,1,0,0,1,1,1,1,1,0,0,514774656,0,0,405,330,9173,27,"G10"
1154786940,1099259888,27797,0,352648,1,-1354512291,140694013,1,1,1,1,1154785283,1099032052,3609,0,48934,1,1875855913,-1883908490,1,1,1,1,1154785303,1099513083,60947,0,1322344,1,0,0,1,1,1,1,1154785303,1099513083,60947,0,91555,1,0,0,1,1,1,1,1,0,0,-407744144,0,0,2454,341,10707,30,"G10"
1153169054,1099881095,4804,0,57919,1,-1998421201,326280773,1,1,1,1,1153163241,1099806652,2270,0,28687,1,323657356,1274551420,1,1,1,1,1153167895,1100134106,3874,0,57481,1,0,0,1,1,1,1,1153167895,1100134106,3874,0,1572,1,0,0,1,1,1,1,1,0,0,145265733,0,0,403,200,228,20,"G10"
1155442307,1100250930,1298,0,16489,1,-1317123304,-1509711350,1,1,1,1,1155439189,1100335193,1378,0,17218,1,-202271692,-1885315532,1,1,1,1,1155440476,1100503832,62182,0,1317354,1,0,0,1,1,1,1,1155440476,1100503832,62182,0,81370,1,0,0,1,1,1,1,1,0,0,1088831737,0,0,115,120,9516,12,"G10"
1120301498,1100711525,7788,0,101070,1,1512597434,-1899355479,1,1,1,1,1120247394,1100591929,2082,0,26941,1,1093932086,-1102078947,1,1,1,1,1120337388,1100964291,4895,0,60552,1,0,0,1,1,1,1,1120337388,1100964291,4895,0,1877,1,0,0,1,1,1,1,1,0,0,-1648926703,0,0,703,188,240,21,"G10"
1118351705,1101735815,4927,0,62148,1,-1519958093,56669131,1,1,1,1,1118296473,1101819065,2311,0,29645,1,-280343156,-1048641366,1,1,1,1,1118388171,1101988278,3230,0,37325,1,0,0,1,1,1,1,1118388171,1101988278,3230,0,1097,1,0,0,1,1,1,1,1,0,0,699824661,0,0,433,207,148,20,"G10"
